,Produit,2022,2021,2020
1,01 Animaux vivants,100000.0,300000.0,210000.0
2,02 Viandes et abats comestibles,955833.0,1340957.0,596.0
3,"03 Poissons et crustacés, mollusques et autres invertébrés aquatiques",1951824301.0,1779817874.0,853349520.0
4,04 Lait et produits de laiterie; oeufs d'oiseaux; miel naturel; produits comestibles d'origine animale,3029000.0,127073.0,554200.0
5,05 Autres produits d'origine animale,221513474.0,189687349.0,190078727.0
6,06 Plantes vivantes et produits de la floriculture,2351114.0,4214008.0,4056682.0
7,"07 Légumes, plantes, racines et tubercules alimentaires",43999.0,550901.0,43400.0
8,"08 Fruits comestibles, écorces d'agrumes ou de melons",36944.0,249066.0,77445.0
9,"09 Café, thé, maté et épices",451688599.0,556736407.0,381810943.0
10,11 Produits de la minoterie; malt; amidons et fécules; insulines; gluten de froment,,4226.0,34174.0
11,"12 Graines et fruits oléagineux; graines, semences et fruits divers; plantes industrielles ou médicinales; pailles et fourrages",6993379.0,6855512.0,7450780.0
12,"13 Gommes, résines et autres sucs et extraits végétaux",1145568.0,38086878.0,22870519.0
13,14 Matières à tresser et autres produits d'origine végétale,,233531.0,989500.0
14,15 Graisses et huiles animales ou végétales; produits de leurs dissociations; graisses alimentaires élaborées; cires d'origine animale ou végétale,757131317.0,646497973.0,467135313.0
15,"16 Préparations de viandes, de poissons, de crustacés et de mollusques ou d'autres invertébrés aquatiques",120965.0,122670.0,52343.0
16,17 Sucres et sucreries,3963252.0,220476.0,176474.0
17,18 Cacao et ses préparations,1655800.0,1083670.0,1339476.0
18,"19 Préparations à base de céréales, de farines, de fécules ou de lait; pâtisseries",2411242.0,759087.0,1439660.0
19,"20 Préparation de légumes, de fruits ou d'autres parties de plantes",306310861.0,491521655.0,540298616.0
20,21 Préparations alimentaires diverses,13883295.0,150875.0,1003806.0
21,"22 Boissons, liquides alcooliques et vinaigres",62961821.0,45646548.0,31038494.0
22,23 Résidus et déchets des industries alimentaires; aliments préparés pour animaux,255460.0,7452493.0,
23,24 Tabacs et succédanés de tabac fabriqués,,,143198.0
24,"25 Sel, soufre, terres et pierres, plâtres, chaux et ciment",4690852.0,4276730.0,2289485.0
25,"27 Combustibles minéraux, huiles minérales et produits de leur distillation; matières bitumineuses; cires minérales",4153424.0,8212458.0,18247136.0
26,"28 Produits chimiques inorganiques; composés inorganiques ou organiques de métaux précieux, d'éléments radioactifs, de métaux des terres rares et d'isotopes",2173498.0,4599864.0,901437.0
27,29 Produits chimiques organiques,1206.0,68751.0,69137.0
28,30 Produits pharmaceutiques,12704018.0,15749573.0,19548427.0
29,32 Extraits tannants ou tinctoriaux et leurs derives; pigments et autres matières colorantes; peintures et vernis; mastics; encres,1107980.0,975323.0,471762.0
30,"33 Huiles essentielles et résinoïdes, produits de parfumerie ou de toilette préparés et préparations cosmétiques",242887507.0,288153756.0,301372149.0
31,34 Savons; agents de surface organiques; préparations pour lessives; cires; bougies; produits d'entretien; pâtes à modeler; cires pour l'art dentaire,5592874.0,7362535.0,7754404.0
32,35 Matières abluminoïdes; produits à base d'amidons ou de fécules modifiés; colles; enzymes,12286.0,91173.0,40839.0
33,"36 Poudres, explosifs; articles de pyrotechnie; allumettes; alliages pyrophoriques; matières inflammables",,72828.0,5164.0
34,38 Produits divers des industries chimiques,8662632.0,24678999.0,2819344.0
35,39 Matières plastiques et ouvrages en ces matières,75478555.0,43389148.0,49647121.0
36,40 Caoutchouc et ouvrages en caoutchouc,1884617.0,1879558.0,699649.0
37,41 Peaux (autres que les pelleteries) et cuirs,34029.0,,
38,"42 Ouvrages en cuir; articles de bourrellerie ou de sellerie; articles de voyage, sacs à main et contenants similaires; ouvrages en boyaux",3549103.0,2167688.0,2073070.0
39,"44 Bois, charbon de bois et ouvrages en bois",21082401.0,13534801.0,28350877.0
40,45 Liège et ouvrages en liège,55870.0,60500.0,170610.0
41,46 Ouvrages de sparterie ou de vannerie,1229153.0,409775.0,700838.0
42,47 Pâtes de bois ou d'autres matières cellulosiques; déchets et rébus de papier ou de carton,15100000.0,23200000.0,17900000.0
43,"48 Papiers et cartons; ouvrages en pâte de cellulose, en papier et en carton",3204735.0,4885111.0,3888825.0
44,"49 Produits de l'édition, de la presse ou des autres industries graphiques; textes manuscrits ou dactylographiés et plans",190830569.0,3484858.0,96805397.0
45,52 Coton,126204.0,278720.0,108500.0
46,54 Filaments synthétiques ou artificiels; lames et formes similaires en matières textiles synthétiques ou artificielles,5641.0,1112.0,6929.0
47,55 Fibres synthétiques ou artificielles discontinues,1387.0,75600.0,164044.0
48,"56 Ouates, feutres et non-tissés; fils spéciaux; ficelles, cordes et cordages; articles de corderie",831222.0,359940.0,1612461.0
49,57 Tapis et autres revêtements de sol en matières textiles,,303575.0,3190.0
50,58 Tissus spéciaux; surfaces textiles touffetées; dentelles; tapisseries; passementeries; broderies,,16000.0,5051.0
51,"59 Tissus imprégnés, enduits, recouverts ou stratifiés; articles techniques en matières textiles",28262.0,76666.0,36476.0
52,60 Etoffes de bonneterie,1307720.0,841920.0,415928.0
53,"61 Vêtements et accessoires du vêtement, en bonneterie",22002105.0,11542012.0,10228371.0
54,"62 Vêtements et accessoires du vêtement, autres qu'en bonneterie",34402296.0,44985726.0,31381372.0
55,63 Autres articles textiles confectionnés; assortiments; friperies et chiffons,10023926.0,14028336.0,11221475.0
56,"64 Chaussures, guêtres et articles analogues; parties de ces objets",990599.0,585496.0,882555.0
57,65 Coiffures et parties de coiffures,1849783.0,816382.0,987687.0
58,"66 Parapluies, ombrelles, parasols, cannes, cannes-sièges, fouets, cravaches et leurs parties",58917.0,34312.0,13999.0
59,67 Plumes et duvet apprêtés et articles en plumes ou en duvet; fleurs artificielles; ouvrages en cheveux,170320.0,64057.0,287690.0
60,"68 Ouvrages en pierres, plâtre, ciment, amiante, mica et matières analogues",23530771.0,4333888.0,8470442.0
61,69 Produits céramiques,838509.0,1048422.0,1055909.0
62,70 Verre et ouvrages en verre,1546938.0,3326544.0,1684159.0
63,"71 Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaqués ou doublés; bijouterie de fantaisie; monnaies",4721913987.0,5018640273.0,2590508700.0
64,"72 Fonte, fer et acier",15932076.0,15593859.0,14795046.0
65,"73 Ouvrages en fonte, fer ou acier",59441386.0,35278579.0,46834617.0
66,74 Cuivre et ouvrages en cuivre,13526987.0,25233070.0,15921576.0
67,76 Aluminium et ouvrages en aluminium,27390144.0,30094232.0,32852374.0
68,78 Plomb et ouvrages en plomb,33268.0,,16206.0
69,79 Zinc et ouvrages en zinc,,10322.0,
70,80 Etain et ouvrages en étain,641600.0,361300.0,73000.0
71,"82 Outils et outillage, articles de coutellerie et couverts de table, en métaux communs; parties de ces articles, en métaux communs",15546278.0,5688783.0,5100208.0
72,83 Ouvrages divers en métaux communs,511641.0,990780.0,505698.0
73,"84 Réacteurs nucléaires, chaudières, machines, appareils et engins mécaniques; parties de ces machines ou appareils",184089509.0,408829628.0,262108232.0
74,"85 Machines, appareils et matériels électriques et leurs parties; appareils d'enregistrement ou de reproduction du son ou des images; parties et accessoires",174813728.0,165522314.0,149124659.0
75,86 Véhicules et matériel pour voies ferrées ou similaires et leurs parties; appareils mécaniques de signalisation pour voies de communications,1533390.0,10686273.0,18503615.0
76,"87 Voitures automobiles, tracteurs, cycles et autres véhicules terrestres; leurs parties et accessoires",68775816.0,62856074.0,32036265.0
77,88 Navigation aérienne ou spatiale,1744930647.0,1146347760.0,658599818.0
78,89 Navigation maritime ou fluviale,106667794.0,637484919.0,200994339.0
79,"90 Instruments et appareils d'optique, de photographie ou cinématographie, de mesure, de contrôle ou de précision; médico-chirurgicaux; parties et accessoires",67047255.0,132130014.0,191560323.0
80,91 Horlogerie,460834.0,5814399.0,509302.0
81,92 Instruments de musique; parties et accessoires de ces instruments,880756.0,1702709.0,1006622.0
82,"93 Armes, munitions et leurs parties et accessoires",,,976252.0
83,94 Meubles; appareils d'éclairage; enseignes lumineuses; plaques indicatrices; luminaires et articles similaires; constructions préfabriquées,37195398.0,949380.0,47608060.0
84,"95 Jouets, jeux, articles pour divertissement et pour sports; leurs parties et accessoires",7772563.0,15825411.0,3618334.0
85,96 Ouvrages divers,6817216.0,3216798.0,4178174.0
86,"97 Objets d'art, de collection ou d'antiquité",30040196.0,22431387.0,16815232.0
87,99 Divers,,20352426.0,3861304.0
88,Grand Total,11766488602.0,12067672056.0,7424583731.0
